Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-06-01,14.07,14.3,13.46,13.85,289629,USD,0.8399999999999999,0.22000000000000064,12.652857142857142,13.127857142857144,12.432380952380951,1.0141287604920546,1.4616323229933785
2016-06-02,13.94,14.03,13.61,13.8,155533,USD,0.41999999999999993,0.1399999999999988,12.84142857142857,13.072142857142856,12.61142857142857,1.0960448374561567,1.3820466190193545
2016-06-03,13.82,13.99,13.42,13.84,200806,USD,0.5700000000000003,-0.019999999999999574,13.23,13.075714285714286,12.765714285714285,0.8351446980414055,1.3259848092213147
2016-06-04,13.9,13.9,13.4,13.81,139118,USD,0.5,0.08999999999999986,13.491428571428571,13.062142857142858,12.939523809523807,0.6429470836553767,1.200647642693198
2016-06-05,13.75,13.97,13.69,13.95,54663,USD,0.28000000000000114,-0.1999999999999993,13.711428571428572,13.043571428571429,13.12904761904762,0.4439004607427423,1.0069702317442253
2016-06-06,14.0,14.19,13.8,14.03,105546,USD,0.3899999999999988,-0.02999999999999936,13.89857142857143,13.087142857142856,13.269047619047617,0.09633769968683538,0.9089054118108322
2016-06-07,13.94,14.7,13.88,14.5,199889,USD,0.8199999999999985,-0.5600000000000005,13.968571428571428,13.213571428571427,13.384285714285713,0.24855774456039478,0.9040109038533134
2016-06-08,14.6,14.89,14.3,14.49,257009,USD,0.5899999999999999,0.10999999999999943,14.06,13.356428571428571,13.43857142857143,0.3082207001484448,0.9355281167035159
2016-06-09,14.51,14.7,14.37,14.45,64978,USD,0.33000000000000007,0.0600000000000005,14.152857142857142,13.497142857142856,13.432380952380951,0.31468048799346726,0.9279973316874449
2016-06-10,14.44,14.46,13.56,13.97,220154,USD,0.9000000000000004,0.46999999999999886,14.171428571428573,13.700714285714286,13.440952380952384,0.29644721685478753,0.9322869985251419
2016-06-11,13.95,14.28,13.81,14.15,109421,USD,0.46999999999999886,-0.20000000000000107,14.22,13.855714285714285,13.44809523809524,0.25185974933150856,0.9373452888216598
2016-06-12,14.3,16.09,14.25,15.8,550466,USD,1.8399999999999999,-1.5,14.484285714285715,14.097857142857142,13.523809523809524,0.6211778366634644,1.058368915787275
2016-06-13,15.75,17.91,15.7,17.73,896994,USD,2.210000000000001,-1.9800000000000004,15.012857142857143,14.455714285714285,13.72904761904762,1.334649945188053,1.3999925169867935
2016-06-14,17.65,19.41,16.0,18.73,1174079,USD,3.41,-1.0800000000000018,15.617142857142856,14.792857142857144,14.014761904761905,1.9011287374058792,1.7535210835562143
2016-06-15,18.7,18.75,17.55,18.45,365425,USD,1.1999999999999993,0.25,16.18285714285714,15.12142857142857,14.298571428571428,2.0896627661396643,1.9640730274464915
2016-06-16,18.61,21.1,18.44,20.7,1023565,USD,2.66,-2.09,17.075714285714287,15.614285714285716,14.690000000000001,2.517325678458902,2.3622573949508485
2016-06-17,20.86,21.69,11.51,15.61,4720545,USD,10.180000000000001,5.25,17.31,15.740714285714287,14.903809523809523,2.2412868327518165,2.222011422541462
2016-06-18,15.19,15.3,10.13,11.41,3041819,USD,5.17,3.7799999999999994,16.91857142857143,15.569285714285714,14.876666666666669,2.997000881834086,2.2626231089894984
2016-06-19,10.76,13.36,10.55,12.43,1143961,USD,2.8099999999999987,-1.67,16.437142857142856,15.460714285714285,14.877619047619048,3.4439740334179563,2.2615368773511118
2016-06-20,12.33,12.49,10.51,11.9,1111530,USD,1.9800000000000004,0.4299999999999997,15.604285714285712,15.30857142857143,14.838571428571429,3.7688276565481083,2.307269567506759
2016-06-21,11.67,12.98,11.2,12.94,644707,USD,1.7800000000000011,-1.2699999999999996,14.777142857142858,15.19714285714286,14.78761904761905,3.600082009647901,2.338090898065988
2016-06-22,13.75,15.9,12.95,13.25,1829191,USD,2.950000000000001,0.5,14.034285714285716,15.108571428571429,14.75904761904762,3.233753531851476,2.3537351269034112
2016-06-23,13.26,14.0,12.5,13.75,521605,USD,1.5,-0.4900000000000002,13.04142857142857,15.058571428571428,14.756666666666666,1.3839367588083402,2.3547788289632012
2016-06-24,13.76,14.46,13.1,14.29,551436,USD,1.3600000000000012,-0.5299999999999994,12.852857142857143,15.081428571428571,14.77809523809524,1.0168696128431558,2.3480579614813943
2016-06-25,14.39,14.84,13.91,14.31,262843,USD,0.9299999999999997,0.08000000000000007,13.267142857142858,15.092857142857143,14.801904761904764,0.9168917472583455,2.3402726743856497
2016-06-26,14.22,14.4,13.53,13.75,213875,USD,0.870000000000001,0.47000000000000064,13.455714285714285,14.946428571428571,14.792380952380952,0.8492713964110019,2.3443163284034467
